['NGC3293', 285.85, 0.07, 0.43, 6, -90.2, -12.9, -12.5],
['NGC3324', 286.22, -0.18, 0.43, 13, -94.9, -19.3, -8.5],
['Tr14', 287.4, -0.58, 0.36, 10, -57.4, -2.9, 20.0],
['Tr15', 287.41, -0.37, 0.47, 6, -57.6, 3.4, 11.5],
['Tr16', 287.63, -0.65, 0.35, 12, -84.9, -29.1, 15.2],
['Col228', 287.64, -1.06, 0.52, 23, -65.3, -6.9, -7.9],
['IC2602', 289.6, -4.9, 7.14, 12, -8.9, -23.2, -2.8],
['CarOB2', 290.41, 0.09, 0.39, 152, -78.9, -25.1, -9.7],
['Tr18', 290.99, -0.13, 0.74, 4, -53.2, 0.8, -11.9],
['NGC3766', 294.12, -0.04, 0.57, 14, -59.8, -10.9, -8.3],
['CruOB1', 294.89, -1.08, 0.61, 117, -43.7, -16.6, -6.2],
['IC2944h', 294.85, -1.65, 0.56, 15, -46.5, -14.0, -24.0],
['ChaT', 297.37, -14.25, 6.15, 42, -9.9, -10.3, -6.2],
['CenOB1', 304.18, 1.41, 0.56, 175, -45.5, -6.7, -8.2],
['Stock16', 306.08, 0.19, 0.61, 13, -44.5, 19.1, -2.6],
['Hogg16', 307.48, 1.34, 0.63, 5, -52.2, 5.1, -12.6],
['NGC5606', 314.84, 0.99, 0.55, 13, -51.2, 2.6, -15.3],
['NGC6067', 329.75, -2.21, 0.71, 12, -45.7, -5.1, -17.2],
['R105f', 333.1, 1.9, 0.62, 8, -32.4, 17.0, -44.5],
['AraOB1A', 337.71, -0.92, 0.89, 106, -16.0, -7.8, -11.6],
['NGC6193', 336.71, -1.57, 0.87, 10, -38.4, -7.6, -13.4],
['NGC6204', 338.56, -1.03, 0.92, 3, -7.4, -19.2, 1.3],
['AraOB1B', 337.92, -0.84, 0.36, 276, -50.0, -30.7, -28.8],
['ScoOB1', 343.74, 1.36, 0.65, 62, -29.4, -2.8, -5.8],
['NGC6231', 343.46, 1.19, 0.8, 10, -28.8, -1.4, -0.8],
['NGC6322', 345.28, -3.05, 1.0, 22, -57.7, 5.5, -2.7],
['Bochum13', 351.2, 1.36, 0.93, 4, -5.2, -17.7, 0.7],
['ScoOB4', 352.4, 3.44, 0.91, 65, 3.9, -8.5, -8.5],
['Pismis24i', 353.05, 0.65, 0.4, 4, -3.9, -13.0, 28.2],
['Tr27', 355.07, -0.74, 0.83, 11, -17.0, -12.0, -7.2],
['NGC6383', 355.69, 0.04, 1.02, 9, 3.5, -2.2, -10.5],
['M6', 356.62, -0.74, 2.05, 7, -12.5, -16.4, -3.9]]
